,pred_3,pred_5,pred_7,pred_12,pred_13,pred_14,pred_21,result_com,year,month,num_date,range_date,season,right_pred
219,,,,,,,,,2012,5,4,6,sp,0
220,,,,,,,,,2012,5,4,6,sp,0
221,,,,,,,,,2012,5,5,6,sp,0
222,,,,,,,,,2012,5,5,6,sp,0
223,,,,,,,,,2012,5,5,6,sp,0
224,,,,,,,,,2012,5,5,6,sp,0
225,,,,,,,,,2012,5,5,6,sp,0
226,,,,,,,,,2012,5,5,6,sp,0
227,,,,,,,,,2012,5,5,6,sp,0
228,,,,,,,,,2012,5,5,6,sp,0
229,,,,,,,,,2012,5,5,6,sp,0
230,,,,,,,,,2012,5,5,6,sp,0
231,,,,,,,,,2012,5,6,6,sp,0
232,,,,,,,,,2012,5,6,6,sp,0
233,,,,,,,,,2012,5,6,6,sp,0
234,,,,,,,,,2012,5,6,6,sp,0
235,,,,,,,,,2012,5,6,6,sp,0
236,,,,,,,,,2012,5,6,6,sp,0
237,,,,,,,,,2012,5,6,6,sp,0
238,,,,,,,,,2012,5,6,6,sp,0
239,,,,,,,,,2012,5,6,6,sp,0
240,,,,,,,,,2012,5,6,6,sp,0
241,,,,,,,,,2012,5,1,4,sp,0
242,,,,,,,,,2012,5,1,4,sp,0
243,,,,,,,,,2012,5,1,4,sp,0
244,,,,,,,,,2012,5,1,4,sp,0
245,,,,,,,,,2012,5,1,4,sp,0
246,,,,,,,,,2012,5,1,4,sp,0
247,,,,,,,,,2012,5,1,4,sp,0
248,,,,,,,,,2012,5,1,4,sp,0
249,,,,,,,,,2012,5,1,4,sp,0
250,,,,,,,,,2012,5,1,4,sp,0
251,,,,,,,,,2012,5,1,4,sp,0
252,,,,,,,,,2012,5,1,4,sp,0
253,,,,,,,,,2012,5,2,4,sp,0
254,,,,,,,,,2012,5,2,4,sp,0
255,,,,,,,,,2012,5,2,4,sp,0
256,,,,,,,,,2012,5,2,4,sp,0
257,,,,,,,,,2012,5,2,4,sp,0
258,,,,,,,,,2012,5,2,4,sp,0
259,,,,,,,,,2012,5,2,4,sp,0
260,,,,,,,,,2012,5,2,4,sp,0
261,,,,,,,,,2012,5,2,4,sp,0
262,,,,,,,,,2012,5,2,4,sp,0
263,,,,,,,,,2012,5,2,4,sp,0
264,,,,,,,,,2012,5,3,4,sp,0
265,,,,,,,,,2012,5,3,4,sp,0
266,,,,,,,,,2012,5,3,4,sp,0
267,,,,,,,,,2012,5,3,4,sp,0
268,,,,,,,,,2012,5,3,4,sp,0
269,,,,,,,,,2012,5,3,4,sp,0
270,,,,,,,,,2012,5,3,4,sp,0
271,,,,,,,,,2012,5,3,4,sp,0
272,,,,,,,,,2012,5,3,4,sp,0
273,,,,,,,,,2012,5,3,4,sp,0
274,,,,,,,,,2012,5,4,4,sp,0
275,,,,,,,,,2012,5,4,4,sp,0
276,,,,,,,,,2012,5,4,4,sp,0
277,,,,,,,,,2012,5,4,4,sp,0
278,,,,,,,,,2012,5,4,4,sp,0
279,,,,,,,,,2012,5,4,4,sp,0
280,,,,,,,,,2012,5,4,4,sp,0
281,,,,,,,,,2012,5,4,4,sp,0
282,,,,,,,,,2012,5,4,4,sp,0
283,,,,,,,,,2012,5,1,4,sp,0
284,,,,,,,,,2012,5,1,4,sp,0
285,,,,,,,,,2012,5,1,4,sp,0
286,,,,,,,,,2012,5,1,4,sp,0
287,,,,,,,,,2012,5,1,4,sp,0
288,,,,,,,,,2012,5,1,4,sp,0
289,,,,,,,,,2012,5,1,4,sp,0
290,,,,,,,,,2012,5,1,4,sp,0
291,,,,,,,,,2012,5,1,4,sp,0
292,,,,,,,,,2012,5,1,4,sp,0
293,,,,,,,,,2012,5,1,4,sp,0
294,,,,,,,,,2012,5,2,4,sp,0
295,,,,,,,,,2012,5,2,4,sp,0
296,,,,,,,,,2012,5,2,4,sp,0
297,,,,,,,,,2012,5,2,4,sp,0
298,,,,,,,,,2012,5,2,4,sp,0
299,,,,,,,,,2012,5,2,4,sp,0
300,,,,,,,,,2012,5,2,4,sp,0
301,,,,,,,,,2012,5,2,4,sp,0
302,,,,,,,,,2012,5,2,4,sp,0
303,,,,,,,,,2012,5,2,4,sp,0
304,,,,,,,,,2012,5,2,4,sp,0
305,,,,,,,,,2012,5,3,4,sp,0
306,,,,,,,,,2012,5,3,4,sp,0
307,,,,,,,,,2012,5,3,4,sp,0
308,,,,,,,,,2012,5,3,4,sp,0
309,,,,,,,,,2012,5,3,4,sp,0
310,,,,,,,,,2012,5,3,4,sp,0
311,,,,,,,,,2012,5,3,4,sp,0
312,,,,,,,,,2012,5,3,4,sp,0
313,,,,,,,,,2012,5,3,4,sp,0
314,,,,,,,,,2012,5,3,4,sp,0
315,,,,,,,,,2012,5,3,4,sp,0
316,,,,,,,,,2012,5,3,4,sp,0
317,,,,,,,,,2012,5,4,4,sp,0
318,,,,,,,,,2012,5,4,4,sp,0
319,,,,,,,,,2012,5,4,4,sp,0
320,,,,,,,,,2012,5,4,4,sp,0
321,,,,,,,,,2012,5,4,4,sp,0
322,,,,,,,,,2012,5,4,4,sp,0
323,,,,,,,,,2012,5,4,4,sp,0
324,,,,,,,,,2012,5,4,4,sp,0
325,,,,,,,,,2012,5,4,4,sp,0
326,,,,,,,,,2012,5,4,4,sp,0
327,,,,,,,,,2012,5,4,4,sp,0
328,,,,,,,,,2012,5,1,4,sp,0
329,,,,,,,,,2012,5,1,4,sp,0
330,,,,,,,,,2012,5,1,4,sp,0
331,,,,,,,,,2012,5,1,4,sp,0
332,,,,,,,,,2012,5,1,4,sp,0
333,,,,,,,,,2012,5,1,4,sp,0
334,,,,,,,,,2012,5,1,4,sp,0
335,,,,,,,,,2012,5,1,4,sp,0
336,,,,,,,,,2012,5,1,4,sp,0
337,,,,,,,,,2012,5,1,4,sp,0
338,,,,,,,,,2012,5,1,4,sp,0
339,,,,,,,,,2012,5,2,4,sp,0
340,,,,,,,,,2012,5,2,4,sp,0
341,,,,,,,,,2012,5,2,4,sp,0
342,,,,,,,,,2012,5,2,4,sp,0
343,,,,,,,,,2012,5,2,4,sp,0
344,,,,,,,,,2012,5,2,4,sp,0
345,,,,,,,,,2012,5,2,4,sp,0
346,,,,,,,,,2012,5,2,4,sp,0
347,,,,,,,,,2012,5,2,4,sp,0
348,,,,,,,,,2012,5,3,4,sp,0
349,,,,,,,,,2012,5,3,4,sp,0
350,,,,,,,,,2012,5,3,4,sp,0
351,,,,,,,,,2012,5,3,4,sp,0
352,,,,,,,,,2012,5,3,4,sp,0
353,,,,,,,,,2012,5,3,4,sp,0
354,,,,,,,,,2012,5,3,4,sp,0
355,,,,,,,,,2012,5,3,4,sp,0
356,,,,,,,,,2012,5,3,4,sp,0
357,,,,,,,,,2012,5,3,4,sp,0
358,,,,,,,,,2012,5,3,4,sp,0
359,,,,,,,,,2012,5,4,4,sp,0
360,,,,,,,,,2012,5,4,4,sp,0
361,,,,,,,,,2012,5,4,4,sp,0
362,,,,,,,,,2012,5,4,4,sp,0
363,,,,,,,,,2012,5,4,4,sp,0
364,,,,,,,,,2012,5,4,4,sp,0
365,,,,,,,,,2012,5,4,4,sp,0
366,,,,,,,,,2012,5,4,4,sp,0
367,,,,,,,,,2012,5,4,4,sp,0
368,,,,,,,,,2012,5,4,4,sp,0
369,,,,,,,,,2012,5,4,4,sp,0
370,,,,,,,,,2012,5,4,4,sp,0
371,,,,,,,,,2012,6,1,6,su,0
372,,,,,,,,,2012,6,1,6,su,0
373,,,,,,,,,2012,6,1,6,su,0
374,,,,,,,,,2012,6,1,6,su,0
375,,,,,,,,,2012,6,1,6,su,0
376,,,,,,,,,2012,6,1,6,su,0
377,,,,,,,,,2012,6,1,6,su,0
378,,,,,,,,,2012,6,1,6,su,0
379,,,,,,,,,2012,6,1,6,su,0
380,,,,,,,,,2012,6,1,6,su,0
381,,,,,,,,,2012,6,1,6,su,0
382,,,,,,,,,2012,6,2,6,su,0
383,,,,,,,,,2012,6,2,6,su,0
384,,,,,,,,,2012,6,2,6,su,0
385,,,,,,,,,2012,6,2,6,su,0
386,,,,,,,,,2012,6,2,6,su,0
387,,,,,,,,,2012,6,2,6,su,0
