,pred_3,pred_4,pred_5,pred_7,pred_13,pred_14,result_com,date,year,month,day,num_date,range_date,season,right_pred
15375,0,0,0,0,0,0,50,2019-05-05,2019,5,5,2,6,sp,0
15376,0,0,0,0,0,0,2,2019-05-05,2019,5,5,2,6,sp,0
15377,0,1,0,0,0,0,28,2019-05-05,2019,5,5,2,6,sp,0
15378,0,0,0,0,0,0,73,2019-05-05,2019,5,5,2,6,sp,0
15379,0,0,0,0,0,0,25,2019-05-05,2019,5,5,2,6,sp,0
15380,0,0,0,0,0,0,24,2019-05-05,2019,5,5,2,6,sp,0
15381,0,0,0,0,0,0,5,2019-05-06,2019,5,6,3,6,sp,0
15382,0,0,0,0,0,0,14,2019-05-06,2019,5,6,3,6,sp,0
15383,0,0,0,0,0,0,1,2019-05-06,2019,5,6,3,6,sp,0
15384,1,1,0,0,1,0,1,2019-05-06,2019,5,6,3,6,sp,0
15385,0,0,0,0,0,0,11,2019-05-06,2019,5,6,3,6,sp,0
15386,0,0,0,0,0,0,21,2019-05-06,2019,5,6,3,6,sp,0
15387,0,0,0,0,0,1,8,2019-05-06,2019,5,6,3,6,sp,0
15388,0,0,0,0,0,0,11,2019-05-06,2019,5,6,3,6,sp,0
15389,0,0,0,0,0,0,43,2019-05-06,2019,5,6,3,6,sp,0
15390,0,0,0,0,1,0,15,2019-05-06,2019,5,6,3,6,sp,0
15391,0,0,0,0,0,0,3,2019-05-06,2019,5,6,3,6,sp,0
15392,0,0,0,0,0,0,1,2019-05-07,2019,5,7,4,6,sp,0
15393,0,0,0,0,1,0,9,2019-05-07,2019,5,7,4,6,sp,0
15394,0,0,0,1,1,1,55,2019-05-07,2019,5,7,4,6,sp,0
15395,0,0,1,1,0,0,7,2019-05-07,2019,5,7,4,6,sp,1
15396,1,0,0,0,1,0,9,2019-05-07,2019,5,7,4,6,sp,0
15397,0,0,0,0,0,0,2,2019-05-07,2019,5,7,4,6,sp,0
15398,0,0,0,0,0,0,4,2019-05-07,2019,5,7,4,6,sp,0
15399,0,0,1,0,0,0,5,2019-05-07,2019,5,7,4,6,sp,1
15400,0,0,0,0,0,0,3,2019-05-07,2019,5,7,4,6,sp,0
15401,0,0,0,0,1,0,5,2019-05-07,2019,5,7,4,6,sp,0
15402,0,0,0,0,0,0,21,2019-05-07,2019,5,7,4,6,sp,0
15403,0,0,0,0,0,0,12,2019-05-07,2019,5,7,4,6,sp,0
15404,0,0,1,0,0,0,6,2019-05-08,2019,5,8,5,6,sp,0
15405,0,0,0,0,0,0,115,2019-05-08,2019,5,8,5,6,sp,0
