,target_com,depth,target_per,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,number_i
13209,27.0,7.0,93.0,179050.0,157000.0,21.0,1570.0,114.04458598726114,1.0191082802547768,16.0,42.0
13210,27.0,7.0,94.0,179050.0,150700.0,21.0,1507.0,118.8122096881221,1.06171201061712,16.0,43.0
13211,27.0,7.0,95.0,179050.0,150700.0,21.0,1507.0,118.8122096881221,1.06171201061712,16.0,44.0
13212,27.0,7.0,96.0,179050.0,149200.0,21.0,1492.0,120.00670241286863,1.0723860589812333,16.0,45.0
13213,27.0,7.0,97.0,179050.0,139100.0,21.0,1391.0,128.72034507548526,1.150251617541337,16.0,46.0
13214,27.0,7.0,98.0,153850.0,137200.0,21.0,1372.0,112.13556851311955,1.0932944606413997,15.0,47.0
13215,27.0,7.0,99.0,179050.0,125700.0,21.0,1257.0,142.44232299124903,1.2728719172633254,16.0,48.0
13216,27.0,7.0,100.0,153850.0,123300.0,21.0,1233.0,124.77696674776966,1.2165450121654502,15.0,49.0
13217,27.0,7.0,101.0,153850.0,123300.0,21.0,1233.0,124.77696674776966,1.2165450121654502,15.0,50.0
13218,27.0,7.0,102.0,147100.0,113000.0,21.0,1130.0,130.17699115044252,1.2389380530973448,14.0,51.0
13219,27.0,7.0,103.0,147100.0,106000.0,21.0,1060.0,138.7735849056604,1.3207547169811322,14.0,52.0
13220,27.0,7.0,104.0,130010.0,110300.0,21.0,1103.0,117.86944696282863,1.1786038077969174,13.0,53.0
13221,27.0,7.0,105.0,130010.0,99300.0,21.0,993.0,130.9264853977845,1.3091641490433032,13.0,54.0
13222,27.0,7.0,106.0,130010.0,99300.0,21.0,993.0,130.9264853977845,1.3091641490433032,13.0,55.0
13223,27.0,7.0,107.0,130010.0,93900.0,21.0,939.0,138.45580404685836,1.384451544195953,13.0,56.0
13262,27.0,7.0,146.0,23570.0,20000.0,21.0,200.0,117.85,4.0,8.0,95.0
13314,27.0,8.0,99.0,147100.0,123700.0,21.0,1237.0,118.91673403395309,1.131770412287793,14.0,48.0
13315,27.0,8.0,100.0,147100.0,128100.0,21.0,1281.0,114.83216237314598,1.0928961748633879,14.0,49.0
13316,27.0,8.0,101.0,147100.0,128100.0,21.0,1281.0,114.83216237314598,1.0928961748633879,14.0,50.0
13317,27.0,8.0,102.0,153850.0,113800.0,21.0,1138.0,135.19332161687169,1.3181019332161688,15.0,51.0
13318,27.0,8.0,103.0,147100.0,109300.0,21.0,1093.0,134.583714547118,1.280878316559927,14.0,52.0
13319,27.0,8.0,104.0,130010.0,108500.0,21.0,1085.0,119.82488479262672,1.19815668202765,13.0,53.0
13320,27.0,8.0,105.0,147100.0,101700.0,21.0,1017.0,144.64110127826942,1.376597836774828,14.0,54.0
13321,27.0,8.0,106.0,147100.0,101700.0,21.0,1017.0,144.64110127826942,1.376597836774828,14.0,55.0
13322,27.0,8.0,107.0,141370.0,98800.0,21.0,988.0,143.08704453441297,1.3157894736842104,13.0,56.0
13399,28.0,4.0,85.0,246280.0,221800.0,17.0,2218.0,111.03697024346258,0.6762849413886384,15.0,34.0
13400,28.0,4.0,86.0,231480.0,199500.0,17.0,1995.0,116.03007518796991,0.7017543859649122,14.0,35.0
13401,28.0,4.0,87.0,231480.0,199500.0,17.0,1995.0,116.03007518796991,0.7017543859649122,14.0,36.0
13402,28.0,4.0,88.0,231480.0,188500.0,17.0,1885.0,122.80106100795756,0.7427055702917772,14.0,37.0
13403,28.0,4.0,89.0,246280.0,195500.0,17.0,1955.0,125.9744245524297,0.7672634271099744,15.0,38.0
13404,28.0,4.0,90.0,219040.0,182900.0,17.0,1829.0,119.75943138326954,0.7107709130672498,13.0,39.0
13405,28.0,4.0,91.0,219040.0,182900.0,17.0,1829.0,119.75943138326954,0.7107709130672498,13.0,40.0
13406,28.0,4.0,92.0,225520.0,159300.0,17.0,1593.0,141.56936597614563,0.8160703075957313,13.0,41.0
13415,28.0,4.0,101.0,126780.0,110300.0,17.0,1103.0,114.94106980961016,0.9066183136899364,10.0,50.0
13416,28.0,4.0,102.0,110130.0,96900.0,17.0,969.0,113.65325077399382,1.0319917440660475,10.0,51.0
13417,28.0,4.0,103.0,137850.0,104100.0,17.0,1041.0,132.4207492795389,1.0566762728146013,11.0,52.0
13426,28.0,4.0,112.0,75730.0,59500.0,17.0,595.0,127.27731092436977,1.1764705882352942,7.0,61.0
13427,28.0,4.0,113.0,75730.0,53700.0,17.0,537.0,141.024208566108,1.303538175046555,7.0,62.0
13434,28.0,4.0,120.0,43480.0,36100.0,17.0,361.0,120.44321329639887,1.662049861495845,6.0,69.0
13435,28.0,4.0,121.0,43480.0,36100.0,17.0,361.0,120.44321329639887,1.662049861495845,6.0,70.0
13436,28.0,4.0,122.0,75730.0,29100.0,17.0,291.0,260.2405498281787,2.405498281786942,7.0,71.0
13437,28.0,4.0,123.0,43480.0,26500.0,17.0,265.0,164.0754716981132,2.2641509433962264,6.0,72.0
13438,28.0,4.0,124.0,43480.0,26500.0,17.0,265.0,164.0754716981132,2.2641509433962264,6.0,73.0
13439,28.0,4.0,125.0,43480.0,24400.0,17.0,244.0,178.19672131147541,2.459016393442623,6.0,74.0
13440,28.0,4.0,126.0,43480.0,22300.0,17.0,223.0,194.97757847533632,2.690582959641256,6.0,75.0
13441,28.0,4.0,127.0,43480.0,22300.0,17.0,223.0,194.97757847533632,2.690582959641256,6.0,76.0
13442,28.0,4.0,128.0,43480.0,24100.0,17.0,241.0,180.41493775933608,2.489626556016597,6.0,77.0
13443,28.0,4.0,129.0,28490.0,20000.0,17.0,200.0,142.45000000000005,2.5,5.0,78.0
13444,28.0,4.0,130.0,28490.0,18600.0,17.0,186.0,153.1720430107527,2.6881720430107525,5.0,79.0
13445,28.0,4.0,131.0,28490.0,18600.0,17.0,186.0,153.1720430107527,2.6881720430107525,5.0,80.0
