,money,number_race,racer_1_ID,racer_1_b,racer_1_m,racer_2_ID,racer_2_b,racer_2_m,racer_3_ID,racer_3_b,racer_3_m,racer_4_ID,racer_4_b,racer_4_m,racer_5_ID,racer_5_b,racer_5_m,racer_6_ID,racer_6_b,racer_6_m,result_com
,720.0,4,4418,13.0,53.0,4320,64.0,24.0,3942,63.0,59.0,3941,73.0,19.0,3908,33.0,55.0,3966,40.0,20.0,10
,2940.0,5,3978,19.0,16.0,3813,72.0,50.0,4024,71.0,46.0,4096,60.0,45.0,3529,46.0,61.0,4276,14.0,48.0,43
,2770.0,6,3572,28.0,70.0,3422,21.0,35.0,4008,49.0,51.0,4264,66.0,44.0,4070,16.0,76.0,3349,74.0,17.0,33
,14220.0,7,4364,12.0,13.0,4205,76.0,26.0,3773,68.0,73.0,4140,57.0,47.0,3557,17.0,21.0,3933,22.0,12.0,28
,3120.0,9,4168,31.0,64.0,3941,73.0,19.0,3703,59.0,27.0,3813,72.0,50.0,3983,47.0,14.0,3502,15.0,31.0,13
,5890.0,10,4320,64.0,24.0,4008,49.0,51.0,3897,52.0,41.0,3576,48.0,67.0,3612,54.0,22.0,3529,46.0,61.0,27
,1140.0,11,4205,76.0,26.0,3942,63.0,59.0,3555,36.0,52.0,4019,32.0,18.0,3251,43.0,39.0,4264,66.0,44.0,9
,11660.0,12,3422,21.0,35.0,3984,53.0,15.0,3966,40.0,20.0,3613,50.0,23.0,4024,71.0,46.0,3557,17.0,21.0,64
,890.0,1,3555,36.0,52.0,3568,20.0,69.0,3349,74.0,17.0,3946,70.0,66.0,4364,12.0,13.0,3813,72.0,50.0,2
,4950.0,2,4276,14.0,48.0,4174,35.0,75.0,4096,60.0,45.0,3978,19.0,16.0,3783,30.0,40.0,4168,31.0,64.0,53
,10380.0,3,3933,22.0,12.0,3908,33.0,55.0,3529,46.0,61.0,3779,51.0,72.0,4320,64.0,24.0,3572,28.0,70.0,17
,2680.0,4,4366,55.0,68.0,4070,16.0,76.0,4292,23.0,57.0,3773,68.0,73.0,3941,73.0,19.0,3992,27.0,74.0,36
,3950.0,5,2992,65.0,37.0,3613,50.0,23.0,4418,13.0,53.0,3568,20.0,69.0,3576,48.0,67.0,3984,53.0,15.0,45
,2470.0,6,3983,47.0,14.0,4019,32.0,18.0,4140,57.0,47.0,3349,74.0,17.0,4096,60.0,45.0,4024,71.0,46.0,7
,1690.0,7,3251,43.0,39.0,3703,59.0,27.0,4174,35.0,75.0,3933,22.0,12.0,3966,40.0,20.0,4370,11.0,65.0,9
,13920.0,8,3946,70.0,66.0,3502,15.0,31.0,3908,33.0,55.0,4292,23.0,57.0,4205,76.0,26.0,3978,19.0,16.0,29
,980.0,9,3779,51.0,72.0,4276,14.0,48.0,3557,17.0,21.0,3992,27.0,74.0,3813,72.0,50.0,4008,49.0,51.0,8
,9830.0,10,4019,32.0,18.0,3612,54.0,22.0,3783,30.0,40.0,4070,16.0,76.0,3942,63.0,59.0,4364,12.0,13.0,66
,850.0,11,3897,52.0,41.0,2992,65.0,37.0,4205,76.0,26.0,3572,28.0,70.0,4168,31.0,64.0,3422,21.0,35.0,1
,5850.0,12,3941,73.0,19.0,4024,71.0,46.0,4264,66.0,44.0,3502,15.0,31.0,4370,11.0,65.0,4418,13.0,53.0,21
,910.0,1,4174,35.0,75.0,3773,68.0,73.0,3992,27.0,74.0,3568,20.0,69.0,3742,67.0,71.0,4140,57.0,47.0,2
,1180.0,2,4168,31.0,64.0,4366,55.0,68.0,3555,36.0,52.0,3612,54.0,22.0,3257,34.0,33.0,3966,40.0,20.0,12
,1180.0,3,3529,46.0,61.0,4292,23.0,57.0,3946,70.0,66.0,3984,53.0,15.0,3978,19.0,16.0,3572,28.0,70.0,6
,3120.0,4,3703,59.0,27.0,4276,14.0,48.0,3349,74.0,17.0,3908,33.0,55.0,3251,43.0,39.0,4264,66.0,44.0,14
,1090.0,5,3966,40.0,20.0,4140,57.0,47.0,3742,67.0,71.0,4008,49.0,51.0,3779,51.0,72.0,3576,48.0,67.0,11
,6810.0,6,3572,28.0,70.0,4364,12.0,13.0,3257,34.0,33.0,4168,31.0,64.0,3568,20.0,69.0,4292,23.0,57.0,77
,1210.0,7,3612,54.0,22.0,3908,33.0,55.0,3978,19.0,16.0,3251,43.0,39.0,3773,68.0,73.0,3529,46.0,61.0,1
,1080.0,8,4008,49.0,51.0,3992,27.0,74.0,4264,66.0,44.0,3703,59.0,27.0,3555,36.0,52.0,3946,70.0,66.0,10
,53430.0,9,3779,51.0,72.0,3984,53.0,15.0,3576,48.0,67.0,4174,35.0,75.0,4276,14.0,48.0,4366,55.0,68.0,28
,860.0,10,3941,73.0,19.0,4070,16.0,76.0,4418,13.0,53.0,3557,17.0,21.0,4205,76.0,26.0,4019,32.0,18.0,1
,1810.0,11,3422,21.0,35.0,3502,15.0,31.0,3783,30.0,40.0,3942,63.0,59.0,2992,65.0,37.0,3613,50.0,23.0,10
,610.0,1,3946,70.0,66.0,3742,67.0,71.0,3908,33.0,55.0,3984,53.0,15.0,3349,74.0,17.0,3992,27.0,74.0,10
,750.0,2,3576,48.0,67.0,3257,34.0,33.0,3612,54.0,22.0,3773,68.0,73.0,3529,46.0,61.0,3779,51.0,72.0,8
,10510.0,3,3933,22.0,11.0,4140,57.0,47.0,4366,55.0,68.0,3572,28.0,70.0,3557,17.0,21.0,4364,12.0,13.0,42
,62690.0,4,4019,32.0,18.0,3966,40.0,20.0,3568,20.0,69.0,4370,11.0,65.0,4418,13.0,53.0,3703,59.0,27.0,103
,1190.0,5,3613,50.0,23.0,3349,74.0,17.0,4168,31.0,64.0,4276,14.0,48.0,4264,66.0,44.0,3783,30.0,40.0,18
,1420.0,6,4096,60.0,45.0,3978,19.0,16.0,4008,49.0,51.0,3576,48.0,67.0,3251,43.0,39.0,4174,35.0,75.0,2
,5690.0,7,2992,65.0,37.0,3529,46.0,54.0,3703,59.0,27.0,4364,12.0,13.0,3984,53.0,15.0,3502,15.0,31.0,12
,72390.0,8,4205,76.0,26.0,3779,51.0,72.0,4292,23.0,57.0,3555,36.0,52.0,3908,33.0,55.0,4168,31.0,64.0,75
,1450.0,9,3251,43.0,39.0,4264,66.0,44.0,3572,28.0,70.0,3946,70.0,66.0,3966,40.0,20.0,3612,54.0,22.0,9
,13830.0,10,3502,15.0,31.0,3557,17.0,21.0,4019,32.0,18.0,3613,50.0,23.0,3933,22.0,11.0,4008,49.0,51.0,18
,26850.0,11,3783,30.0,40.0,4418,13.0,53.0,4370,11.0,65.0,4096,60.0,45.0,2992,65.0,37.0,4205,76.0,26.0,44
,1350.0,12,3897,52.0,41.0,3422,21.0,35.0,3941,73.0,19.0,4070,16.0,76.0,4024,71.0,46.0,3942,63.0,59.0,1
,1410.0,1,3360,46.0,12.0,4265,52.0,56.0,3060,67.0,76.0,4495,72.0,71.0,4567,34.0,54.0,3839,58.0,50.0,12
,880.0,2,4016,38.0,47.0,4429,75.0,43.0,2820,48.0,67.0,4322,36.0,28.0,3471,56.0,23.0,4411,51.0,39.0,14
,10530.0,3,3964,18.0,15.0,4141,53.0,29.0,4428,55.0,65.0,3335,49.0,25.0,3829,76.0,64.0,4657,63.0,41.0,22
,1730.0,4,3652,71.0,61.0,3882,26.0,58.0,3686,12.0,19.0,4299,37.0,70.0,3091,21.0,11.0,3918,69.0,30.0,4
,1160.0,5,3967,47.0,52.0,4091,45.0,33.0,2874,29.0,24.0,3609,44.0,22.0,4535,24.0,36.0,4567,34.0,54.0,1
,16400.0,6,4322,36.0,28.0,4495,72.0,71.0,3784,61.0,48.0,3662,41.0,55.0,4213,35.0,66.0,3245,62.0,74.0,39
,4990.0,7,2820,48.0,67.0,4336,57.0,21.0,3091,21.0,11.0,3829,76.0,64.0,3987,19.0,60.0,3957,14.0,17.0,86
,3670.0,8,4299,37.0,70.0,4428,55.0,65.0,4265,52.0,56.0,3176,25.0,32.0,4411,51.0,39.0,4067,39.0,34.0,77
,7100.0,9,3060,67.0,76.0,3573,60.0,63.0,4429,75.0,43.0,4091,45.0,33.0,4657,63.0,41.0,3662,41.0,55.0,88
,870.0,10,3882,26.0,58.0,4410,16.0,45.0,3957,14.0,17.0,4535,24.0,36.0,3335,49.0,25.0,3808,33.0,75.0,1
,19980.0,12,3573,60.0,63.0,3360,46.0,12.0,3245,62.0,74.0,3918,69.0,30.0,4067,39.0,34.0,3987,19.0,60.0,80
,1020.0,1,4067,39.0,34.0,3829,76.0,64.0,3964,18.0,15.0,2820,48.0,67.0,4428,55.0,65.0,3060,67.0,76.0,7
,800.0,2,4410,16.0,45.0,2874,29.0,24.0,4445,40.0,53.0,3839,58.0,50.0,4429,75.0,43.0,4411,51.0,39.0,6
,4930.0,3,4213,35.0,66.0,3091,21.0,11.0,3609,44.0,22.0,4657,63.0,41.0,4299,37.0,70.0,4567,34.0,54.0,13
,5830.0,4,3686,12.0,19.0,3245,62.0,74.0,3662,41.0,55.0,3957,14.0,17.0,4495,72.0,71.0,3652,71.0,61.0,30
,2000.0,5,3987,19.0,60.0,3176,25.0,32.0,3471,56.0,23.0,3060,67.0,76.0,4265,52.0,56.0,4322,36.0,28.0,21
,2550.0,6,3839,58.0,50.0,4213,35.0,66.0,4091,45.0,33.0,3784,61.0,48.0,3573,60.0,63.0,2820,48.0,67.0,94
,1690.0,7,3808,33.0,75.0,3609,44.0,22.0,3967,47.0,52.0,3652,71.0,61.0,4336,57.0,21.0,3360,46.0,12.0,43
,14930.0,8,3335,49.0,25.0,3686,12.0,19.0,3918,69.0,30.0,3091,21.0,11.0,4016,38.0,47.0,3964,18.0,15.0,18
,2760.0,9,3662,41.0,55.0,4535,24.0,36.0,4299,37.0,70.0,2874,29.0,24.0,4091,45.0,33.0,3882,26.0,58.0,7
,3860.0,10,3957,14.0,17.0,3471,56.0,23.0,3808,33.0,75.0,4445,40.0,53.0,3360,46.0,12.0,3573,60.0,63.0,120
,10690.0,11,3918,69.0,30.0,3987,19.0,60.0,4495,72.0,71.0,4410,16.0,45.0,3784,61.0,48.0,3967,47.0,52.0,80
,10740.0,12,3245,62.0,74.0,4067,39.0,34.0,3176,25.0,32.0,4336,57.0,21.0,3882,26.0,58.0,4016,38.0,47.0,20
,13380.0,1,3573,60.0,63.0,3839,58.0,50.0,4429,75.0,43.0,4265,52.0,56.0,3609,44.0,22.0,4567,34.0,54.0,19
,1150.0,2,3176,25.0,32.0,3060,67.0,76.0,4535,24.0,36.0,3829,76.0,64.0,4322,36.0,28.0,4411,51.0,39.0,10
,2700.0,3,4495,72.0,71.0,4428,55.0,65.0,3335,49.0,25.0,4657,63.0,41.0,3652,71.0,61.0,3471,56.0,23.0,9
,3960.0,4,4336,57.0,21.0,4091,45.0,33.0,3882,26.0,58.0,4213,35.0,66.0,3686,12.0,19.0,4410,16.0,45.0,17
,1660.0,5,4445,40.0,53.0,2820,48.0,67.0,3839,58.0,50.0,3808,33.0,18.0,3964,18.0,15.0,4299,37.0,70.0,10
,2080.0,6,2874,29.0,24.0,3918,69.0,30.0,3829,76.0,64.0,3360,46.0,12.0,4567,34.0,54.0,3784,61.0,48.0,2
,870.0,7,3471,56.0,23.0,3662,41.0,55.0,4067,39.0,34.0,4429,75.0,43.0,3967,47.0,52.0,4336,57.0,21.0,27
,2250.0,8,3091,21.0,11.0,4322,36.0,28.0,3652,71.0,61.0,3245,62.0,74.0,3957,14.0,17.0,4091,45.0,33.0,12
,1200.0,9,4535,24.0,36.0,4265,52.0,56.0,3987,19.0,60.0,4428,55.0,65.0,3808,33.0,18.0,4411,51.0,39.0,42
,880.0,10,4410,16.0,45.0,4067,39.0,34.0,3964,18.0,15.0,3573,60.0,63.0,3918,69.0,30.0,3335,49.0,25.0,11
,1660.0,11,3967,47.0,52.0,3176,25.0,32.0,3360,46.0,12.0,3882,26.0,58.0,4445,40.0,53.0,4657,63.0,41.0,9
,6990.0,12,3245,62.0,74.0,3987,19.0,60.0,3784,61.0,48.0,3662,41.0,55.0,4495,72.0,71.0,4213,35.0,66.0,73
,800.0,1,3918,69.0,30.0,3652,71.0,61.0,4428,55.0,65.0,2820,48.0,67.0,4322,36.0,28.0,4411,51.0,39.0,5
,680.0,2,3360,46.0,12.0,4265,52.0,56.0,4535,24.0,36.0,4299,37.0,70.0,3839,58.0,50.0,3829,76.0,64.0,7
,8730.0,3,3964,18.0,15.0,3471,56.0,23.0,3091,21.0,11.0,4657,63.0,31.0,2874,29.0,24.0,3609,44.0,22.0,43
,4630.0,4,4091,45.0,33.0,3808,33.0,18.0,3957,14.0,17.0,4429,75.0,43.0,4336,57.0,21.0,3060,67.0,76.0,82
,35580.0,5,4067,39.0,34.0,3335,49.0,25.0,3686,12.0,19.0,4428,55.0,65.0,4567,34.0,54.0,4445,40.0,53.0,78
,6340.0,6,4535,24.0,36.0,4213,35.0,66.0,3839,58.0,50.0,4352,54.0,35.0,3987,19.0,60.0,2874,29.0,24.0,67
,3480.0,7,3829,76.0,64.0,4336,57.0,21.0,3245,62.0,74.0,3471,56.0,23.0,2820,48.0,67.0,3176,25.0,32.0,38
,32620.0,8,3784,61.0,48.0,3957,14.0,17.0,4322,36.0,28.0,3686,12.0,19.0,4265,52.0,56.0,3091,21.0,11.0,115
,18420.0,9,4352,54.0,35.0,4299,37.0,70.0,3808,33.0,18.0,3652,71.0,61.0,4091,45.0,33.0,4567,34.0,54.0,22
,2470.0,10,3176,25.0,32.0,3987,19.0,60.0,3918,69.0,30.0,3360,46.0,12.0,3964,18.0,15.0,3335,49.0,25.0,22
,4040.0,11,3245,62.0,74.0,4067,39.0,34.0,4445,40.0,53.0,3784,61.0,48.0,4657,63.0,31.0,4213,35.0,66.0,13
,1360.0,12,4410,16.0,45.0,3967,47.0,52.0,3662,41.0,55.0,3573,60.0,63.0,4495,72.0,71.0,3882,26.0,58.0,6
,20270.0,1,3618,29.0,71.0,3551,28.0,73.0,4170,25.0,57.0,4536,24.0,58.0,4687,54.0,59.0,4642,18.0,60.0,42
,600.0,2,3501,58.0,11.0,2837,66.0,67.0,2973,37.0,13.0,4513,59.0,27.0,3561,74.0,16.0,4523,17.0,20.0,9
,2560.0,3,4007,73.0,46.0,3976,62.0,63.0,3755,31.0,54.0,2910,44.0,40.0,4588,68.0,31.0,3424,14.0,68.0,15
,1770.0,4,3846,15.0,14.0,4361,53.0,62.0,3927,69.0,75.0,4477,30.0,34.0,4554,20.0,43.0,4351,64.0,37.0,39
,1510.0,5,3436,67.0,26.0,3128,65.0,36.0,3949,75.0,56.0,4170,25.0,57.0,4390,11.0,32.0,4475,34.0,33.0,10
,2170.0,6,4301,13.0,30.0,3878,32.0,44.0,3361,27.0,35.0,3295,50.0,28.0,3214,70.0,29.0,4513,59.0,27.0,66
,790.0,7,4272,22.0,49.0,2973,37.0,13.0,3661,23.0,70.0,3976,62.0,63.0,4536,24.0,58.0,3514,51.0,52.0,18
,13600.0,8,3927,69.0,75.0,3350,43.0,51.0,3561,74.0,16.0,3551,28.0,73.0,3424,14.0,68.0,3944,12.0,72.0,31
,8600.0,9,3755,31.0,54.0,4172,38.0,69.0,4554,20.0,43.0,3878,32.0,44.0,3949,75.0,56.0,4687,54.0,59.0,25
,1220.0,10,4195,45.0,17.0,3501,58.0,11.0,4301,13.0,30.0,4007,73.0,46.0,4475,34.0,33.0,4477,30.0,34.0,24
,15380.0,11,3350,43.0,51.0,3357,55.0,18.0,4361,53.0,62.0,3618,29.0,71.0,3361,27.0,35.0,3661,23.0,70.0,26
,3060.0,12,4172,38.0,69.0,3436,67.0,26.0,3944,12.0,72.0,3514,51.0,52.0,4351,64.0,37.0,3295,50.0,28.0,8
,2240.0,1,3514,51.0,52.0,3214,70.0,29.0,3846,15.0,14.0,3755,31.0,54.0,4642,18.0,60.0,4687,54.0,59.0,12
,770.0,2,4477,30.0,34.0,4588,68.0,31.0,3357,55.0,18.0,4301,13.0,30.0,3976,62.0,63.0,3927,69.0,75.0,1
,1080.0,3,2837,66.0,67.0,4523,17.0,20.0,4513,59.0,27.0,4554,20.0,43.0,4475,34.0,33.0,3424,14.0,68.0,1
,5760.0,4,4390,11.0,32.0,4536,24.0,58.0,3501,58.0,11.0,3128,65.0,36.0,4172,38.0,69.0,4007,73.0,46.0,16
,1620.0,5,3944,12.0,72.0,2910,44.0,40.0,3878,32.0,44.0,4170,25.0,57.0,4361,53.0,62.0,4642,18.0,60.0,3
,1020.0,6,3949,75.0,56.0,3295,50.0,28.0,4195,45.0,17.0,3361,27.0,35.0,2973,37.0,13.0,4272,22.0,49.0,22
,1180.0,7,3214,70.0,29.0,4390,11.0,32.0,4523,17.0,20.0,3436,67.0,26.0,3350,43.0,51.0,3618,29.0,71.0,80
,500.0,8,3661,23.0,70.0,4351,64.0,37.0,2910,44.0,40.0,4588,68.0,31.0,3128,65.0,36.0,4475,34.0,33.0,2
,1860.0,9,3561,74.0,16.0,3944,12.0,72.0,4272,22.0,49.0,4172,38.0,69.0,3551,28.0,73.0,3846,15.0,14.0,70
,9090.0,10,3361,27.0,35.0,4170,25.0,57.0,4007,73.0,46.0,2837,66.0,67.0,3357,55.0,18.0,3436,67.0,26.0,9
,1760.0,11,4351,64.0,37.0,4513,59.0,27.0,3618,29.0,71.0,4361,53.0,62.0,3501,58.0,11.0,4195,45.0,17.0,9
,1200.0,12,3295,50.0,28.0,3514,51.0,52.0,4477,30.0,34.0,3661,23.0,70.0,3878,32.0,44.0,3350,43.0,51.0,9
,360.0,1,3501,58.0,11.0,3949,75.0,56.0,3551,28.0,73.0,3846,15.0,14.0,3424,14.0,68.0,4687,54.0,59.0,1
,1000.0,2,3514,51.0,52.0,3361,27.0,35.0,3128,65.0,36.0,2973,37.0,13.0,3755,31.0,54.0,4642,18.0,60.0,13
,1580.0,3,3944,12.0,72.0,4195,45.0,17.0,4536,24.0,58.0,4390,11.0,32.0,4523,17.0,20.0,3976,62.0,63.0,11
,27890.0,4,2910,44.0,40.0,3661,23.0,70.0,4351,64.0,37.0,3878,32.0,44.0,4301,13.0,30.0,4554,20.0,43.0,74
,530.0,5,3436,67.0,26.0,4272,22.0,49.0,3214,70.0,29.0,3927,69.0,75.0,4007,73.0,46.0,4475,34.0,33.0,13
,6720.0,6,3357,55.0,18.0,3755,31.0,54.0,3350,43.0,51.0,3949,75.0,56.0,4361,53.0,62.0,2837,66.0,67.0,18
,1090.0,8,2973,37.0,13.0,3618,29.0,71.0,3295,50.0,28.0,3551,28.0,73.0,4536,24.0,58.0,4301,13.0,30.0,26
